Table 6.4 :   Hong Kong dollar interest rates,,,,,,,,,,,,,,,,,,
               港元利率,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Table 6.4.2 :   Period average figures,,,,,,,,,,(percent per annum),,,,,,,,
,,期內平均數字,,,,,,,,(年率),,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,"              Time and savings deposit rates on deposits of less than HK$100,0001",,,,,,,,,,,,,,
,,,,            少於10萬港元的定期及儲蓄存款利率1,,,,,,Best,,,,,,,,
,,,,,,,,,Savings,lending rate2,,,,,,,,
During,,,,1-week,1-month,3-month,6-month,12-month, deposit rate,最優惠貸款,,,,,,,,
期內數字,,,,1星期,1個月,3個月,6個月,12個月,儲蓄存款利率,利率2,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1980,Jan,1月,,9.25 ,N.A. ,9.25 ,9.25 ,11.50 ,9.25 ,14.50 ,,,,,,,,
,Feb,2月,,9.25 ,N.A. ,9.25 ,9.25 ,11.50 ,9.25 ,14.50 ,,,,,,,,
,Mar,3月,,10.10 ,N.A. ,10.10 ,10.10 ,12.52 ,10.10 ,15.52 ,,,,,,,,
,Apr,4月,,10.50 ,N.A. ,10.50 ,10.50 ,13.00 ,10.50 ,16.00 ,,,,,,,,
,May,5月,,10.21 ,N.A. ,10.21 ,10.21 ,12.71 ,10.21 ,15.71 ,,,,,,,,
,Jun,6月,,7.28 ,N.A. ,7.28 ,8.73 ,9.78 ,7.28 ,12.78 ,,,,,,,,
,Jul,7月,,6.31 ,N.A. ,6.44 ,7.87 ,8.87 ,6.31 ,11.74 ,,,,,,,,
,Aug,8月,,5.00 ,N.A. ,6.00 ,7.00 ,8.00 ,5.00 ,10.00 ,,,,,,,,
,Sep,9月,,5.37 ,N.A. ,6.37 ,7.37 ,8.37 ,5.37 ,10.37 ,,,,,,,,
,Oct,10月,,6.31 ,N.A. ,7.71 ,8.71 ,9.71 ,6.31 ,11.71 ,,,,,,,,
,Nov ,11月,,8.37 ,N.A. ,9.97 ,10.97 ,11.87 ,8.37 ,13.97 ,,,,,,,,
,Dec,12月,,10.74 ,N.A. ,12.74 ,13.74 ,14.24 ,10.74 ,16.74 ,,,,,,,,
1981,Jan,1月,,11.00 ,N.A. ,13.00 ,14.00 ,13.85 ,11.00 ,17.00 ,,,,,,,,
,Feb,2月,,11.00 ,N.A. ,13.00 ,14.00 ,13.50 ,11.00 ,17.00 ,,,,,,,,
,Mar,3月,,11.00 ,N.A. ,13.00 ,14.00 ,13.50 ,11.00 ,17.00 ,,,,,,,,
,Apr,4月,,11.00 ,N.A. ,13.00 ,14.00 ,13.50 ,11.00 ,17.00 ,,,,,,,,
,May,5月,,11.00 ,N.A. ,13.00 ,14.00 ,13.50 ,11.00 ,17.00 ,,,,,,,,
,Jun,6月,,11.00 ,N.A. ,13.00 ,14.00 ,13.50 ,11.00 ,17.00 ,,,,,,,,
,Jul,7月,,11.35 ,N.A. ,13.35 ,14.35 ,13.85 ,11.35 ,17.35 ,,,,,,,,
